price,lprice,square,rooms,floor,mfloor,station,metro,ametro,dmetro,link
10950000,16.208850014226783,38.0,2,3,9,метро Севастопольская,12 минут пешком,1,12,https://www.cian.ru/sale/flat/313386586/
26000000,17.073607095985757,74.9,3,11,17,метро Зюзино,8 минут пешком,1,8,https://www.cian.ru/sale/flat/316813522/
29500000,17.19990082131005,79.3,3,8,30,метро Яхромская,20 минут пешком,1,20,https://www.cian.ru/sale/flat/308273775/
11600000,16.266515656076592,49.2,3,8,9,метро Алтуфьево,5 минут на транспорте,0,5,https://www.cian.ru/sale/flat/315558943/
16750000,16.63390881623535,54.0,2,2,16,метро Озёрная,8 минут пешком,1,8,https://www.cian.ru/sale/flat/289070977/
4200000,15.250595083253597,8.3,1,1,14,метро Алма-Атинская,9 минут пешком,1,9,https://www.cian.ru/sale/flat/316744825/
10200000,16.1378982782545,32.5,1,5,9,метро Алтуфьево,10 минут пешком,1,10,https://www.cian.ru/sale/flat/309203394/
24000000,16.99356438831222,79.9,3,8,14,метро Косино,5 минут пешком,1,5,https://www.cian.ru/sale/flat/316673784/
20897481,16.85513918335537,61.7,2,15,24,метро Солнцево,3 минуты на транспорте,0,3,https://www.cian.ru/sale/flat/298647397/
11900000,16.292048958081757,38.5,2,3,14,метро Генерала Тюленева,7 минут пешком,1,7,https://www.cian.ru/sale/flat/310625201/
10499999,16.166885719889653,45.0,2,5,9,метро Ясенево,4 минуты на транспорте,0,4,https://www.cian.ru/sale/flat/309725093/
65000000,17.98989782785991,83.5,3,60,78,метро Деловой центр,6 минут пешком,1,6,https://www.cian.ru/sale/flat/313340209/
139000000,18.749984491094967,109.0,3,5,12,метро Новослободская,19 минут пешком,1,19,https://www.cian.ru/sale/flat/314600078/
66400000,18.01120761444666,79.4,2,8,13,метро Новослободская,20 минут пешком,1,20,https://www.cian.ru/sale/flat/315810013/
12273012,16.322913263335217,53.0,3,1,9,метро Перово,6 минут на транспорте,0,6,https://www.cian.ru/sale/flat/312463920/
52211250,17.77080854687374,76.5,2,3,4,метро Трубная,15 минут пешком,1,15,https://www.cian.ru/sale/flat/313850858/
76000000,18.146243898250606,116.0,5,6,12,метро Смоленская,12 минут пешком,1,12,https://www.cian.ru/sale/flat/314437617/
22799884,16.94226600619243,85.8,3,8,14,метро Тёплый Стан,10 минут пешком,1,10,https://www.cian.ru/sale/flat/313194403/
5699000,15.555801278817135,30.0,1,6,6,метро Первомайская,16 минут пешком,1,16,https://www.cian.ru/sale/flat/315614705/
27000000,17.111347423968603,37.0,1,1,5,метро Полянка,17 минут пешком,1,17,https://www.cian.ru/sale/flat/313233682/
29207154,17.189924237230912,103.8,3,8,9,метро Говорово,10 минут на транспорте,0,10,https://odintsovo.cian.ru/sale/flat/310282412/
6750000,15.725053062848712,34.7,1,4,5,метро Жулебино,17 минут на транспорте,0,17,https://lyubertsy.cian.ru/sale/flat/312898905/
25000000,17.034386382832476,77.0,3,12,24,метро Ботанический сад,16 минут пешком,1,16,https://www.cian.ru/sale/flat/311030288/
29000000,17.182806387950748,79.5,3,13,14,метро Университет дружбы народов,12 минут пешком,1,12,https://www.cian.ru/sale/flat/316168060/
11800000,16.283610089435893,52.5,2,6,14,метро Пражская,8 минут на транспорте,0,8,https://www.cian.ru/sale/flat/316652631/
44800000,17.617718697385214,97.6,4,1,5,метро Чкаловская,17 минут пешком,1,17,https://www.cian.ru/sale/flat/313303791/
12700000,16.35711255142882,37.0,1,15,17,метро Рижская,4 минуты на транспорте,0,4,https://www.cian.ru/sale/flat/314715977/
28500000,17.16541464523888,58.0,2,2,6,метро Деловой центр,16 минут пешком,1,16,https://www.cian.ru/sale/flat/315823538/
25700000,17.06200154986545,54.0,1,2,12,метро Третьяковская,19 минут пешком,1,19,https://www.cian.ru/sale/flat/314930140/
10250000,16.14278826354869,31.0,1,7,9,метро Дубровка,14 минут пешком,1,14,https://www.cian.ru/sale/flat/313972011/
30000000,17.216707939626428,45.5,2,5,5,метро Чистые пруды,10 минут пешком,1,10,https://www.cian.ru/sale/flat/316797751/
16957318,16.64621003903064,65.8,2,2,16,метро Ольховая,5 минут на транспорте,0,5,https://www.cian.ru/sale/flat/316589885/
142000000,18.771337615565532,109.0,3,2,4,метро Новокузнецкая,13 минут пешком,1,13,https://www.cian.ru/sale/flat/303778588/
19000000,16.759949537130716,51.0,2,9,16,метро Беговая,8 минут пешком,1,8,https://www.cian.ru/sale/flat/316418593/
7900000,15.88237331743725,56.0,2,5,25,метро Щёлковская,15 минут на транспорте,0,15,https://balashikha.cian.ru/sale/flat/314846489/
5300000,15.483217378522353,45.3,2,5,5,метро Красногвардейская,24 минуты на транспорте,0,24,https://domodedovo.cian.ru/sale/flat/312674596/
36579000,17.41498486321051,81.1,3,4,21,метро ЦСКА,8 минут на транспорте,0,8,https://www.cian.ru/sale/flat/303024778/
23000000,16.951004773893423,65.0,3,3,16,метро Краснопресненская,19 минут пешком,1,19,https://www.cian.ru/sale/flat/314942352/
11800000,16.283610089435893,36.3,1,12,14,метро Партизанская,4 минуты на транспорте,0,4,https://www.cian.ru/sale/flat/316191557/
28600000,17.168917275790083,80.4,3,5,10,метро Сокол,20 минут пешком,1,20,https://www.cian.ru/sale/flat/311382504/
55000000,17.822843743196746,96.4,4,5,14,метро Ломоносовский проспект,6 минут на транспорте,0,6,https://www.cian.ru/sale/flat/313452318/
15610196,16.5634348484666,64.8,3,2,17,метро Пыхтино,7 минут на транспорте,0,7,https://www.cian.ru/sale/flat/316816117/
79000000,18.184958410431296,90.7,3,3,8,метро Трубная,15 минут пешком,1,15,https://www.cian.ru/sale/flat/312615724/
13300000,16.40327459319198,47.3,2,2,9,метро Верхние Лихоборы,16 минут пешком,1,16,https://www.cian.ru/sale/flat/315963938/
12100000,16.308716010566968,35.0,1,6,12,метро Улица Академика Янгеля,20 минут пешком,1,20,https://www.cian.ru/sale/flat/316567822/
18230000,16.718579146654847,99.7,5,14,17,метро Свиблово,14 минут на транспорте,0,14,https://mytishchi.cian.ru/sale/flat/316435405/
70900000,18.07678099150236,69.1,2,6,10,метро Савёловская,16 минут пешком,1,16,https://www.cian.ru/sale/flat/313651231/
30900000,17.246266741867974,109.7,4,7,7,метро Дмитровская,20 минут пешком,1,20,https://www.cian.ru/sale/flat/314004246/
38882785,17.476062165649594,91.9,3,21,27,метро ВДНХ,18 минут пешком,1,18,https://www.cian.ru/sale/flat/296010089/
26302846,17.085187704221152,54.4,2,11,15,метро Технопарк,4 минуты на транспорте,0,4,https://www.cian.ru/sale/flat/313928087/
9600000,16.077273656438063,41.7,2,2,9,метро Окская,4 минуты на транспорте,0,4,https://www.cian.ru/sale/flat/316135519/
10800000,16.195056692094447,31.0,1,1,9,метро Солнцево,12 минут пешком,1,12,https://www.cian.ru/sale/flat/313171881/
93371900,18.352101001401618,87.6,3,4,46,метро Фили,8 минут пешком,1,8,https://www.cian.ru/sale/flat/314317801/
65200000,17.99297002689688,115.0,2,7,10,метро Новаторская,13 минут пешком,1,13,https://www.cian.ru/sale/flat/312667273/
